uf,votosHaddad,votosBolsonaro,totalVotos,percentHaddad,percentBolsonaro,numeroCandidatoMaisVotado
ac,86977,294899,381876,0.22776241502477243,0.7722375849752275,17
al,912034,610093,1522127,0.599183905153775,0.40081609484622505,13
am,875845,885401,1761246,0.4972871478487389,0.502712852151261,17
ap,183616,185096,368712,0.49799301351732517,0.5020069864826748,17
ba,5484901,2060382,7545283,0.726931117096602,0.27306888290339804,13
ce,3407526,1384591,4792117,0.7110690327469049,0.28893096725309503,13
df,463340,1080411,1543751,0.3001390768329867,0.6998609231670133,17
es,747768,1276611,2024379,0.36938142511851785,0.6306185748814822,17
go,1118060,2124739,3242799,0.34478239323498006,0.6552176067650199,17
ma,2428913,886565,3315478,0.7325981351708563,0.2674018648291438,13
mg,4382952,6100107,10483059,0.418098572182032,0.581901427817968,17
ms,465025,872049,1337074,0.3477930166916715,0.6522069833083285,17
mt,549001,1085824,1634825,0.33581637178291257,0.6641836282170874,17
pa,2112769,1742188,3854957,0.5480655166841031,0.4519344833158969,13
pb,1451293,782143,2233436,0.6498028150347716,0.35019718496522845,13
pe,3297944,1661163,4959107,0.6650277963351063,0.3349722036648937,13
pi,1417113,422095,1839208,0.7705017594529819,0.22949824054701806,13
pr,1948790,4224416,6173206,0.31568523713610075,0.6843147628638993,17
rj,2673386,5669059,8342445,0.3204559334823304,0.6795440665176696,17
rn,1131027,652562,1783589,0.6341298359655728,0.36587016403442724,13
ro,229343,594968,824311,0.27822387424163936,0.7217761257583606,17
rr,72872,183268,256140,0.2845006636995393,0.7154993363004607,17
rs,2263171,3893737,6156908,0.36758239687843314,0.6324176031215669,17
sc,940724,2966242,3906966,0.24078120976737447,0.7592187902326255,17
se,759061,364860,1123921,0.6753686424579664,0.32463135754203365,13
sp,7212132,15306023,22518155,0.32028076900616415,0.6797192309938359,17
to,371593,356684,728277,0.5102358031353454,0.4897641968646545,13
zz,53730,131671,185401,0.2898042621129336,0.7101957378870664,17
